timestamp,record_num,record_id,source_system,full_name,email,phone,company,exact_matches,fuzzy_matches,vector_matches,business_matches,exact_score,fuzzy_score,vector_score,business_score,combined_score,confidence,action,entity_id,processing_time_ms
2025-09-24T00:19:12.823284,1,a16ab8d0-0485-4f2b-a750-9738ac7356cc,ecommerce,Sarah Pope,keith98@example.com,,Oconnell and Sons,2,2,1,4,1.0,1.0,0.0,0.3,0.73,MEDIUM,AUTO_MERGE,893147c7-c333-4622-9796-6adf5dfe66bd,2085.6549739837646
2025-09-24T00:19:15.709314,2,dcfb4953-1ed1-497a-b1ad-eb3f32def69f,crm,Tina Ferguson,qvargas@example.org,562-972-0465,Martinez Ltd,4,2,1,4,1.0,1.0,0.0,0.3,0.73,MEDIUM,AUTO_MERGE,2cb7fad0-c4ee-4012-aa89-ee67fc57c35b,1852.5092601776123
2025-09-24T00:19:18.609999,3,ee3de5a9-c29b-40b1-bff8-71bea7be7ba6,ecommerce,Justin Hughes,melissachan@example.org,433.446.8007,,3,5,1,2,1.0,1.0,0.0,0.2,0.72,MEDIUM,AUTO_MERGE,b8382a2f-2d9f-4f0a-a7d0-686379e43723,1653.331995010376
2025-09-24T00:19:21.345818,4,babf6059-da49-436b-8f52-e3070d96af21,crm,Vincent Herrera,jennifercarter@example.org,+1-253-896-2,"Mendoza, White and Taylor",2,1,4,2,0.0,0.0,0.8464855646592319,0.0,0.16929711293184638,LOW,CREATE_NEW,ab346f66-59c6-4f17-bebf-9b5003c46607,1682.4378967285156
2025-09-24T00:19:24.300617,5,86818be6-5664-4363-92c9-1b33cd85e5d5,erp,Heidi Spencer,robertbentley@example.net,001-729-994-,,5,3,1,3,1.0,1.0,0.0,0.2,0.72,MEDIUM,AUTO_MERGE,e874a872-efec-4c6c-b277-184a4beee302,1679.8515319824219
2025-09-24T00:19:27.329025,6,e6c99f91-7421-4602-bde1-6f606398dfbc,crm,Michael Ball,wbishop@example.net,838.834.7359,Guerra Inc,2,1,1,2,0,0,0,0,0.0,LOW,CREATE_NEW,fcfe0f91-69e7-4b6e-adcd-d03759224fa5,1949.1214752197266
2025-09-24T00:19:30.541481,7,779bb906-2242-4523-b3c2-3a696e6f276e,crm,Douglas Taylor,julie69@yahoo.com,(332)887-101,"Gill, Romero and Rodriguez",3,2,3,4,1.0,1.0,0.0,0.3,0.73,MEDIUM,AUTO_MERGE,ea2cb489-149d-43c4-86f6-4adebcc9517b,1915.1713848114014
2025-09-24T00:19:33.787515,8,4908f007-afdd-4f9f-ae2d-ed5c726e26e1,ecommerce,Michael Norton,watsonrichard@example.net,934.210.1666,Nelson-Glass,8,7,1,8,1.0,1.0,0.0,0.3,0.73,MEDIUM,AUTO_MERGE,8564a66c-7f55-44e8-89d6-468379729bbc,1937.2079372406006
2025-09-24T00:19:37.055302,9,dceedf1c-677a-4905-b26b-18f267ec8d73,crm,Jeffrey Black,finleycasey@outlook.com,545.918.7053,Harris and Sons,3,7,2,4,1.0,1.0,0.0,0.3,0.73,MEDIUM,AUTO_MERGE,3ba20575-88db-41e4-b702-471b9436bda9,1934.8607063293457
2025-09-24T00:19:40.317587,10,08c06dac-41bf-4b8b-8be3-e03da1f5a74f,crm,Julie Thompson,opatel@example.net,+1.751.860.6,Foster LLC,6,3,1,6,1.0,1.0,0.0,0.3,0.73,MEDIUM,AUTO_MERGE,2115fc43-6543-492e-bd9a-5bbdf4e0753a,1933.3109855651855
